V1,V2,label
-2.007385087,-2.232548486,0
-1.617873221,-1.409869475,0
-2.557394559,-1.629150791,0
-1.511704774,-1.898596491,0
-2.35978041,-1.740996405,0
-2.054276091,-2.181176188,0
-2.369017441,-1.834838751,0
-1.76215794,-2.187059219,0
-1.843827099,-2.343302417,0
-1.75944169,-1.98602981,0
-2.055970932,-2.030523762,0
-1.739334153,-1.774876508,0
-1.841160403,-1.958689637,0
-1.976653662,-1.814485921,0
-1.930251632,-1.795234578,0
-2.093035032,-2.730451329,0
-1.688352619,-1.343906106,0
-1.867590667,-2.03004657,0
-2.040933423,-2.035716256,0
-1.994777178,-2.336605619,0
-2.155128337,-2.299108048,0
-1.925360252,-2.088992346,0
-1.851436603,-2.052410948,0
-1.704099444,-1.93593983,0
-1.342790081,-2.568908277,0
-2.194075006,-1.729553933,0
-1.241502288,-2.074590433,0
-1.986899302,-2.067894273,0
-1.600562866,-2.086192359,0
-1.795979048,-2.09594048,0
-2.381767627,-1.905935684,0
-1.849044556,-1.612032235,0
-2.033134108,-2.185208619,0
-1.831171671,-1.927778872,0
-1.915800477,-2.021933811,0
-1.651898429,-1.889152185,0
-1.428602387,-1.66668299,0
-1.802285061,-2.488231502,0
-1.819304216,-1.873915339,0
-1.756714498,-1.686667372,0
2.91583544,-1.418552025,1
1.366310326,-0.393008509,1
-0.943177984,-0.713509201,1
-0.788163332,-1.460928432,1
0.975354943,-0.558021833,1
3.790416623,1.422407131,1
-2.411440893,-0.586391925,1
-1.253230082,2.381110432,1
3.039986309,3.230735647,1
1.301758499,-1.838333904,1
-1.981066388,2.839183542,1
0.22171717,2.417288672,1
0.579908138,1.865140202,1
0.15209302,2.167071284,1
0.550863926,-0.274320971,1
-1.258488736,-3.454325213,1
-0.976606565,-3.362991378,1
3.86253691,-2.547097189,1
2.494869582,2.99969316,1
1.507306019,0.555955302,1
