V1,V2,V3,V4,label
-0.221092939,0.837687481,-0.443996623,-1.206271842,0
-0.297979902,-0.487661701,-0.069568735,0.958433967,0
0.079726275,0.305199109,0.560005462,-1.875962606,0
-0.851594777,0.556307636,0.098180146,0.670884432,0
0.489984174,0.988297046,0.154302195,-0.620330167,0
-0.454028381,-0.635783169,1.026277572,1.171134836,0
-0.354326687,-0.184683465,-0.230922178,0.219220313,0
2.194287254,-0.190656243,-2.274716135,-4.166559032,0
-0.536352445,-1.512079924,0.385489623,0.521676089,0
-0.270504554,0.677366961,0.025223088,0.702442882,0
0.409071642,-0.25501926,-0.714066786,-3.390862798,0
1.940776271,-0.235678242,-0.698799582,-2.281649131,0
-0.286753434,-0.663255586,1.439730387,2.360305133,0
-0.712481819,-0.428507914,-0.44408258,2.660264324,0
-0.994822757,0.384468794,2.134008539,3.566857084,0
-0.288802895,-0.193296005,0.154018889,-1.788081058,0
0.414720652,0.294648757,0.211859386,2.052022094,0
0.325769569,-0.744866738,0.717617277,-0.680359471,0
-0.765806538,-1.36879724,0.093601308,-0.154160305,0
-0.656452657,-0.140074573,0.670478907,-0.388736294,0
-2.597385392,-0.303156036,1.14117073,1.87983495,1
-4.545424436,-0.530523063,1.997048777,3.289711163,1
-6.493463479,-0.75789009,2.852926824,4.699587376,1
